Sample Id,MecA_read_Counts,MecA_Coverage,Staph_read_Counts,Staph_Coverage,CC_8_8,CC_239_239,CC_1_1,CC_5_5,CC_8_8_2,CC_5_5_2,MLST_93,CC_5_5_3,CC_59_59,CC_30_36,CC_8_72,CC_8_8_3,CC_151_151,CC_8_254,CC_398_398,CC_30_30,CC_75_1850,CC_5_5_4,CC_133_133,CC_1021,CC_121,CC_123,CC_130,CC_15,CC_20,CC_2198,CC_22,CC_2361,CC_291,CC_425,CC_45,CC_49,CC_50,CC_522,CC_700,CC_779,CC_78,CC_80,CC_97,CC_9
SRR1748827,0,0,849,0.029847385,0,0,0,0,0,0,0,0,0,0.521403354,0,0,0,0,0,0.475948808,0.002647838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748830,0,0,895,0.031464558,0.20875138,0,0.273020025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090046745,0,0,0,0,0,0.10851877,0,0.31966308,0,0,0,0,0,0,0,0,0
SRR1748841,0,0,1914,0.067288451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998732927,0,0.001267073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748842,0,0,4481,0.157533725,0,0,0,0,0,0,0.014474946,0,0,0,0.220351335,0,0,0.435212246,0,0,0.001992276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327969198,0
SRR1748847,0,0,2989,0.105081076,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0.238095238,0,0,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748859,0,0,2073,0.072878244,0,0,0,0,0,0,0.028701965,0,0,0,0.954508507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016789528,0,0,0,0,0,0,0
SRR1748863,0,0,2251,0.079136,0,0,0,0,0,0,0,0,0.040598392,0.872136598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085447757,0.001817253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1748866,0,0,3748,0.131764427,0,0,0,0,0,0,0.007051362,0,0,0,0.169330391,0,0.006441305,0,0,0,0,0,0,0,0,0.022687846,0,0.162027723,0.17771072,0,0,0,0,0,0,0,0.020210569,0,0.021489121,0,0,0.158463819,0.254587144,0
SRR1748869,0,0,893,0.031394246,0,0,0,0,0.008256956,0.177524564,0,0,0,0,0.771337352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042881127,0,0,0,0,0
SRR1748875,0,0,1891,0.066479865,0,0,0,0.689938398,0,0,0,0,0,0,0,0,0,0,0,0,0.00513347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304928131,0,0,0,0,0,0,0,0,0
