"Sample.ID" "Description" "Latitude" "Logitude" "Run" "CC_1" "CC_5" "CC_8" "CC_9" "CC_15" "CC_20" "CC_22" "CC_30" "CC_45" "CC_49" "CC_50" "CC_59" "CC_72" "CC_75" "CC_78" "CC_80" "CC_93" "CC_97" "CC_121" "CC_123" "CC_130" "CC_133" "CC_151" "CC_239" "CC_291" "CC_398" "CC_425" "CC_522" "CC_700" "CC_779" "CC_1021" "CC_2198" "CC_2361"
"45" "P00285" "Prince St" "40.724329" "-73.997702" "SRR1748875" 0 0.689938398 0 0 0 0 0 0 0.304928131 0 0 0 0 0.00513347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "P00320" "Cathedral Pkwy-110 St" "40.800605" "-73.958158" "SRR1748910" 0 0 0 0 0 0 0 0.616987686 0 0 0 0.273444901 0 0 0 0 0 0 0.068203347 0 0 0 0 0.041364067 0 0 0 0 0 0 0 0 0
"47" "P00322" "Cathedral Pkwy-110 St" "40.800605" "-73.958158" "SRR1748912" 0 0 0.608518634 0 0 0 0.16003166 0 0.120513093 0 0 0 0 0.03397382 0 0 0 0 0 0 0.076962792 0 0 0 0 0 0 0 0 0 0 0 0
"48" "P00335" "14 St/6 Av" "40.737826" "-74.000201" "SRR1748925" 0 0.816373083 0 0 0 0 0 0 0 0 0 0 0.09393901 0.002234997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08745291 0 0 0 0
"49" "P00338" "Canal St" "40.722854" "-74.006277" "SRR1748928" 0 0 0.467746812 0.051655496 0 0 0 0 0.255908885 0 0.157209091 0 0 0 0 0.067479716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" "P00350" "Staten Island Railway  " "40.550004" "-74.153577" "SRR1748939" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"51" "P00354" "Tottenville" "40.5250" "-74.25" "SRR1748943" 0 0.414386355 0 0 0 0 0 0.585613645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" "P00361" "St George Ferry Terminal" "40.642979" "-74.073196" "SRR1748950" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" "P00369" "Christopher St-Sheridan Sq" "40.733422" "-74.002906" "SRR1748957" 0.6 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" "P00372" "Q Train  " "40.75037" "-73.93956" "SRR1748960" 0 0 0 0 0 0 0.014697638 0 0.011651385 0 0.006171596 0 0 0 0 0 0 0 0 0 0 0 0.023580953 0 0.897163419 0.04673501 0 0 0 0 0 0 0
"55" "P00373" "36 Av" "40.756804" "-73.929575" "SRR1748961" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" "P00378" "N Train  " "40.76718" "-73.921192" "SRR1748966" 0 0.710732054 0 0 0 0 0 0 0 0 0 0 0.289267946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" "P00379" "Astoria-Ditmars Blvd" "40.775036" "-73.912034" "SRR1748967" 0 0 0.356531735 0 0 0 0 0.022391326 0.416736248 0 0 0 0 0.040845348 0 0 0 0 0 0 0.087590861 0 0 0 0 0 0.075904482 0 0 0 0 0 0
"58" "P00381" "G Train  " "40.783908" "-73.980005" "SRR1748969" 0 0 0 0 0 0 0 0 0 0 0.170731707 0.113821138 0 0.089430894 0 0.31300813 0 0 0 0 0.31300813 0 0 0 0 0 0 0 0 0 0 0 0
"59" "P00391" "Smith-9th Sts" "40.67358" "-73.995959" "SRR1748979" 0 0 0.420073565 0 0 0.250336424 0.111154502 0 0.218435509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" "P00419" "R Train  " "40.706698" "-74.003719" "SRR1749005" 0 0 0 0 0 0 0.02176508 0 0 0 0.003447502 0 0 0 0 0.012738535 0 0 0 0 0 0 0.018385501 0 0 0.919835093 0 0 0.023828288 0 0 0 0
"61" "P00423" "Court Sq" "40.747846" "-73.946" "SRR1749009" 0 0 0 0 0 0 0.097017532 0.745095034 0 0 0 0 0 0.031880789 0 0 0 0 0 0 0 0.033027492 0 0 0 0 0.016055222 0.013325667 0.063598265 0 0 0 0
"62" "P00426" "Queens Plaza" "40.748973" "-73.937243" "SRR1749012" 0 0 0 0 0 0 0 0.104506503 0 0 0 0 0 0 0 0.472648452 0 0 0.06540982 0 0 0 0 0 0 0 0.038390967 0 0.319044258 0 0 0 0
"63" "P00427" "7 Train " "40.748018" "-73.942393" "SRR1749013" 0 0 0.059008394 0 0 0 0 0.542989192 0 0 0 0 0 0.074521082 0 0 0 0 0 0 0 0 0.059197202 0 0 0 0 0.115803882 0.148480247 0 0 0 0
"64" "P00428" "74-Bway/Jackson Hts-Roosevelt Av" "40.746644" "-73.891338" "SRR1749014" 0 0 0 0 0 0 0.159836066 0.053278689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.639344262 0 0 0.147540984 0
"65" "P00430" "F Train   " "40.746536" "-73.889585" "SRR1749016" 0 0 0 0 0 0.334747104 0 0 0.189104528 0 0 0 0 0.000909624 0.230311972 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.244926772 0 0 0
"66" "P00436" "F Train  " "40.74599" "-73.886357" "SRR1749022" 0 0 0 0 0 0 0.214014366 0 0 0 0.114140995 0 0 0.157615677 0 0 0 0 0 0.190234992 0.095117496 0 0.133758979 0 0 0 0 0 0.095117496 0 0 0 0
"67" "P00441" "Parsons Blvd" "40.707564" "-73.803326" "SRR1749027" 0 0 0 0 0 0 0 0.037800687 0 0 0 0 0 0 0 0.962199313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"68" "P00444" "169 St" "40.71047" "-73.793604" "SRR1749030" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"69" "P00463" "Hoyt-Schermerhorn Sts" "40.688484" "-73.985001" "SRR1749049" 0 0.17611192 0 0 0 0 0 0 0 0 0 0 0.411526258 0 0 0 0 0.336246514 0 0 0 0 0 0 0 0 0 0 0.076115308 0 0 0 0
"70" "P00469" "2 Train  " "40.793375" "-73.970956" "SRR1749055" 0 0 0 0 0 0 0 0 0.305555556 0 0.652777778 0 0 0.041666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"71" "P00470" "2 Train  " "40.708433" "-74.007983" "SRR1749056" 0 0 0 0.421831899 0.152759932 0.046678774 0.037214684 0 0 0 0 0 0 0 0.175539936 0.162556568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.003418206 0
"72" "P00473" "135 St" "40.814229" "-73.94077" "SRR1749059" 0 0.906862745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.049019608 0 0 0 0 0 0 0 0 0 0.044117647 0 0 0 0
"73" "P00474" "135 St" "40.807754" "-73.945495" "SRR1749060" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
